	github_urls	creation_date	pr_date	pr_from	is_fork	pr_from_date	is_merged	merged_date
122	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-05-02T14:44:08Z		False		False	
123	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-04-17T01:12:19Z	kodonnell/facenet	True	2018-04-16T23:32:31Z	False	
124	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-04-16T20:54:08Z	AntonOellerer/facenet	True	2018-04-13T12:22:32Z	False	
125	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-04-16T17:25:29Z	AntonOellerer/facenet	True	2018-04-13T12:22:32Z	True	2018-04-16T17:32:12Z
126	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-03-31T06:45:45Z		False		True	2018-03-31T20:11:21Z
127	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-03-05T17:04:11Z	cjekel/facenet	True	2017-05-01T17:28:56Z	True	2018-03-05T19:37:32Z
128	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-28T04:05:56Z	sunnylgz/facenet	True	2017-12-21T04:05:48Z	True	2017-12-28T22:26:34Z
129	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-25T02:15:45Z	mm1860/facenet	True	2017-12-22T14:56:05Z	False	
130	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-21T05:53:17Z	sunnylgz/facenet	True	2017-12-21T04:05:48Z	True	2017-12-27T10:49:58Z
131	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-21T05:12:27Z	sunnylgz/facenet	True	2017-12-21T04:05:48Z	False	
132	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-19T18:53:33Z	fangmingbnu/facenet	True	2017-12-19T18:36:05Z	False	
133	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-13T20:14:00Z	TheAtomicOption/facenet-1	True	2017-12-13T19:08:05Z	True	2017-12-14T18:32:26Z
134	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-12-04T20:13:03Z	cindy21td/facenet	True	2017-12-03T04:35:24Z	False	
135	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-11-24T09:57:59Z	cclauss/facenet	True	2017-11-24T09:56:27Z	False	
136	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-11-22T13:58:07Z		False		True	2017-11-22T14:11:17Z
137	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-11-04T14:08:08Z	shaform/facenet	True	2017-09-14T14:18:31Z	False	
138	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-31T23:53:27Z	e271828-/facenet	True	2017-10-31T23:42:56Z	True	2017-11-07T20:49:25Z
139	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-25T16:02:26Z		False		False	
140	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-24T00:59:01Z	zhly0/facenet	True	2017-10-24T00:54:27Z	True	2017-10-24T05:37:26Z
141	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-23T10:08:14Z		False		False	
142	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-22T06:37:12Z	henrych4/facenet	True	2017-10-22T06:27:17Z	True	2017-10-22T19:09:20Z
143	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-20T22:15:09Z	shaform/facenet	True	2017-09-14T14:18:31Z	True	2017-10-21T06:22:21Z
144	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-10-11T15:22:30Z	EdwardDixon/facenet	True	2017-10-04T09:14:24Z	False	
145	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-09-21T05:18:33Z	lmxhappy/facenet	True	2017-09-21T05:16:44Z	True	2017-10-21T06:24:19Z
146	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-09-13T23:18:53Z	cetra3/facenet	True	2017-09-13T23:16:45Z	True	2017-10-21T09:30:07Z
147	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-09-07T16:50:36Z	fgervais/facenet	True	2017-08-24T13:37:45Z	True	2017-10-21T12:18:19Z
148	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-09-02T07:24:01Z	rishiraicom/facenet	True	2017-06-14T14:06:06Z	True	2017-10-21T06:28:53Z
149	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-08-28T11:24:34Z		False		True	2017-10-21T12:20:01Z
150	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-08-21T10:10:12Z	MxAxG/facenet	True	2017-08-21T08:10:18Z	True	2017-10-21T06:28:03Z
151	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-08-02T06:37:13Z	TatsuyaShirakawa/facenet	True	2017-08-02T00:49:02Z	True	2017-10-21T13:32:51Z
152	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-07-20T15:36:58Z		False		False	
153	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-07-16T02:56:15Z	huan/python-facenet	True	2017-06-03T17:09:49Z	False	
154	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-07-10T08:36:00Z	korrawat/facenet	True	2017-07-10T08:28:45Z	True	2017-07-10T09:23:32Z
155	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-06-22T07:22:04Z	rishiraicom/facenet	True	2017-06-14T14:06:06Z	True	2017-07-16T15:25:04Z
156	davidsandberg/facenet	2016-02-12T22:14:40Z	2017-06-05T05:07:51Z	DiegoLelis/facenet	True	2017-05-26T04:35:45Z	True	2017-07-15T20:12:09Z
