	github_urls	forks	useful_forks	transitive_forks
1174	lsheiba/tensorflow-slim	0	0	0
1175	progresstogether/tensorflow_inception_v4	0	0	0
1176	taehoonlee/tensornets	138	12	0
1177	fishermanzzhang/tf_model_speed	1	0	0
1178	sbh2ch/tensorflow-slim-inception-resnet-v2	1	0	0
1179	wanghan0501/slim	0	0	0
1180	zengkv/slimlearn	0	0	0
1181	hassanes/finetune_model	0	0	0
1182	hukim1112/slim	0	0	0
1183	minfengucas/pig-classification	0	0	0
1184	ai100-csdn/quiz_slim	14	6	0
1185	hangjie720/tensorrt-program	5	0	0
1186	stesha2016/fork-slim	5	0	0
1187	stoensin/simple_densenet	0	0	0
1188	loseall/videosuperresolution	119	3	1
1189	estarlife/densenet-quiz	0	0	0
1190	caochangyan1213/quiz-w7-2-densenet	0	0	0
1191	pessimiss/quiz-w7-2-densenet	0	0	0
1192	eth-sri/eran	10	0	0
1193	duinodu/objdect_papernotes	3	0	0
1194	hailotech/seg-mentor	10	0	0
1195	olafenwamoses/imageai	820	21	8
1196	yanqi1811/transfer-learning	2	0	0
1197	mbadry1/cs231n-2017-summary	244	5	2
1198	trailbehind/deeposm	174	12	8
1199	xinghaochen/awesome-hand-pose-estimation	252	2	7
1200	huxiaoman7/paddlepaddle_code	122	0	1
1201	zhang0peter/good-articles-by-time	1	1	0
1202	zengarden/light_head_rcnn	215	115	4
1203	zhec/realtime_multi-person_pose_estimation	1113	41	22
1204	bioinf-jku/ttur	68	7	0
1205	neuropoly/gmseg	6	0	0
1206	uber-research/intrinsic-dimension	27	1	0
1207	minyoungg/selfconsistency	24	3	0
1208	philferriere/tfvos	30	0	0
1209	ronghanghu/text_objseg	30	2	1
1210	balancap/ssd-tensorflow	1465	155	55
1211	vcg-uvic/lf-net-release	29	5	5
1212	aleksispi/drl-rpn-tf	14	0	0
1213	tetrachrome/subpixel	262	19	3
1214	bioinf-jku/snns	183	7	1
1215	philferriere/tfoptflow	44	5	1
1216	mjhucla/tf-mrnn	55	4	1
1217	lz20061213/quadrilateral	0	0	0
1218	shekkizh/fcn.tensorflow	478	35	10
1219	slundberg/shap	679	24	9
1220	tae-jun/resemul	11	0	0
1221	tensorflow/adanet	380	11	1
1222	potterhsu/svhnclassifier	64	6	0
1223	ternaus/angiodysplasia-segmentation	17	0	0
1224	philferriere/tfwss	42	1	0
1225	yunjey/show_attend_and_tell	294	20	4
1226	sthalles/deeplab_v3	232	3	2
1227	dmitryulyanov/neural-style-audio-tf	91	8	1
1228	markvdw/convgp	22	4	0
1229	detectionteamucas/faster-rcnn_tensorflow	37	1	0
1230	rpautrat/superpoint	98	8	3
1231	arahusky/tensorflow-segmentation	85	5	1
1232	hangyao/street_view_house_numbers	18	0	0
1233	cftang0827/pedestrian_recognition	2	0	0
1234	thibo73800/capsnet_traffic_sign_classifier	63	3	2
1235	vincemarron/style_transfer	21	2	0
1236	kkweon/unet-in-tensorflow	71	6	2
1237	insikk/delf_enhanced	22	1	0
1238	bostondiditeam/mv3d	127	5	3
1239	monsta-hd/boltzmann-machines	109	5	0
1240	ossdc/ssd-tensorflow	10	0	1
1241	codait/deep-histopath	22	1	1
1242	vadim-v-lebedev/audio_style_tranfer	18	0	0
1243	llsourcell/how_to_do_style_transfer_in_tensorflow	54	3	1
1244	insikk/grad-cam-tensorflow	66	3	0
1245	leeyevi/mv3d_tf	27	8	4
1246	zhwhong/lidc_nodule_detection	59	0	1
1247	jenifferwuucla/pulmonary-nodules-maskrcnn	56	2	2
1248	aqibsaeed/genetic-cnn	51	5	1
1249	yd8534976/fashionai-tf	3	0	0
1250	tropcomplique/shufflenet-tensorflow	16	0	0
1251	alexattia/extendedtinyfaces	61	0	1
1252	markostam/audio-deepdream-tf	4	1	1
1253	stuarteiffert/rnn-for-human-activity-recognition-using-2d-pose-input	31	1	0
1254	google-aai/tf-serving-k8s-tutorial	20	1	0
1255	tropcomplique/shufflenet-v2-tensorflow	39	3	0
1256	detectionteamucas/fpn_tensorflow	60	3	0
1257	rusty1s/embedded_gcnn	5	0	0
1258	detectionteamucas/cascade-rcnn_tensorflow	11	0	0
1259	larryjiang134/image_manipulation_detection	28	2	0
1260	leonardoaraujosantos/learnsegmentation	7	0	0
1261	robmarkcole/satellite-image-deep-learning	81	0	5
1262	cagatayyildiz/npde	1	0	0
1263	crowdai/crowdai-mapping-challenge-mask-rcnn	31	4	1
1264	saurabh23/msrgan-a-gan-for-single-image-super-resolution-on-high-content-screening-microscopy-images.	8	0	0
1265	aqibsaeed/estimation-of-remaining-useful-life-using-cnn	36	0	1
1266	m090009/traffic-sign-recognition-classifier	0	0	0
1267	jerryfan4/resnet	4	0	0
1268	toimcio/segnet-tensorflow	23	1	0
1269	orlyliba/fine_tune_analyze_neural_net	4	0	0
1270	mithi/semantic-segmentation	19	0	0
1271	ayushdewan/latin-alphabet-recognition-using-convolutional-neural-networks-in-tensorflow	0	0	0
1272	liferlisiqi/traffic-sign-classifier	0	0	0
1273	waleedgondal/weakly_localizations_tensorflow	9	0	0
1274	vijaydl/dl-playground	3	0	0
1275	pat-coady/tiny_imagenet	14	0	0
1276	odysseaskr/irmas-cnn	1	0	0
1277	ilguyi/style-transfer.tensorflow	2	0	0
1278	oracleofnj/spectral-repr-cnns	8	0	1
1279	eternityzy/fcn-tensorflow	11	0	0
1280	amirhfarzaneh/vgg13-tensorlfow	1	0	0
1281	kvn219/multi-number-recognition	2	0	0
1282	georgymh/instance-identification	1	0	0
1283	jadevaibhav/signature-verification-using-deep-learning	8	0	0
1284	davidabek1/adanet	2	0	0
1285	hayoung-kim/tf-semantic-segmentation-fcn-vgg16	7	0	1
1286	hodapp87/cs6475_neural_style	0	0	0
1287	brianrusso/uav_ssd	0	0	0
1288	ahylton19/simplenalu-tf	5	0	0
1289	yihui-he/resnet-tensorflow	3	0	0
1290	nicolastah/semantic-style-transfer	1	0	0
1291	seuphor/vgg19-style	0	0	0
1292	twice22/vqa	0	0	0
1293	michaelmendoza/learning-tensorflow	1	0	0
1294	houstonj2013/capstone_dl_object_detection	0	0	0
1295	pacocp/maskrcnn_blur_background	1	1	0
1296	ankitamd/darkflow-object-detection	0	0	0
1297	niulab-ssd-branch/ssd-branchy	0	0	0
1298	rishengzhou/newssd	0	0	0
1299	hengmuling/ssd-tensorflow-master	1	0	0
1300	zhaochunzx/tensorflowdemo	0	0	0
1301	yuyang2009/ssd_tensorflow	1	0	0
1302	tikam02/crowdestimation	2	0	0
1303	eltonwalter/ssd-tensorflow-origin	0	0	0
1304	mlearing/ssd	0	0	0
1305	laos-y/tensorflow-yolo	1	0	0
1306	mytrjp/objectdetection	4	0	0
1307	kobiso/cam-tensorflow	1	0	0
1308	jrc1995/wide-residual-network	5	0	0
1309	coolerme/dog_vs_cat	0	0	0
1310	goddoe/hide-and-seek	1	0	0
1311	ronniegandhi/implementing-alexnet-trained-on--imagenet-s-ilsvrc2012-datasets-using-tensorflow	0	0	0
1312	gpascualg/crossgrad	0	0	0
1313	niranjanreddy891/self-driving-car	0	0	0
1314	aloshkad/sdcar_software_p3	0	0	0
1315	shishir-bg/tf1.3_new_input_pipeline_demonstration	0	0	0
1316	etpr/kinematic_morphing_network	0	0	0
1317	iavasiljeva/siamese-networks-hse-2017	1	0	0
1318	minggli/densenet	0	0	0
1319	irashadow/tensorflow_fcn	0	0	0
1320	thadikari/differentiable-boundary-trees	0	0	0
1321	sixquant/u-net	2	0	0
1322	ibm/max-human-pose-estimator	6	1	0
1323	lucko515/deep-convolutional-highway-network	2	0	0
1324	lwiss/hackathon_satellite_imagery	0	0	0
1325	dekhtiarjonathan/dice-dmu_imagery_classification_engine	3	0	0
1326	texastony/motion_detection_obj_recog	0	0	0
1327	leofansq/kitti-objects-detection-using-ssd-in-tensorflow	0	0	0
1328	iitmcvg/demo-of-face-detection-and-counting-	1	0	0
1329	pohsu/lyft-challenge	0	0	0
1330	lucko515/fully-connected-highway-network	1	0	0
1331	mdeff/fma	187	7	4
1332	saravanabalagi/deep_image_prior	4	0	0
1333	lucko515/residual-network	1	0	0
1334	111qqz/tf-slim	1	0	0
1335	devyhia/slim-backup	0	0	0
1336	jorge190588/ia	8	0	0
1337	mikoto10032/deeplearning	313	5	15
