	github_urls	forks	useful_forks	transitive_forks
257	renqianluo/nao	30	2	0
258	xialeiliu/rotatenetworks	4	0	0
259	zehaos/mobilenet	401	15	0
260	tonytheplaneswalker/pcn	28	4	1
261	chunyuanli/mnist_inception_score	6	0	0
262	manricheon/eusr-pcl-tf	1	0	0
263	mvcnn/mvcnn	3	0	0
264	shagunsodhani/pregel	10	1	0
265	huaxiuyao/dmvst-net	18	0	0
266	hualin95/everyone_is_van_gogh	7	4	0
267	shaohua0116/group-normalization-tensorflow	32	1	0
268	rishizek/tensorflow-deeplab-v3	81	4	0
269	divelab/dtn	14	0	0
270	pavelgonchar/face-transfer-tensorflow	20	0	0
271	tmulc18/distributed-tensorflow-guide	135	4	1
272	yeephycho/densenet-tensorflow	12	0	0
273	yewzijian/3dfeatnet	20	1	0
274	rishizek/tensorflow-deeplab-v3-plus	187	6	4
275	kobiso/cbam-tensorflow-slim	14	0	0
276	wanggrun/learning-feature-pyramids	2	0	0
277	chenxi116/tf-phrasecut-public	8	1	0
278	wangbm/mtcnn-tensorflow	55	4	1
279	hongyanggao/pixeldcn	31	2	6
280	bilylee/siamfc-tensorflow	80	4	2
281	yangjirui/rrpn_fpn_tensorflow	20	0	0
282	patwie/tensorflow-recipes	11	1	0
283	victordibia/handtracking	233	12	2
284	dmarcosg/dsac	9	1	0
285	yuleiniu/vc	2	0	0
286	lorenmt/vsl	7	0	0
287	pppoe/tensorflow-sphereface-asoftmax	25	1	0
288	cydonia999/tiny_faces_in_tensorflow	105	9	3
289	fuhongshuai/fuhs_graphcnn	2	0	0
290	lukeoverride/deemotions	1	0	0
291	taki0112/group_normalization-tensorflow	8	0	0
292	www0wwwjs1/matrix-capsules-em-tensorflow	69	6	0
293	jackyko1991/vnet-tensorflow	26	2	1
294	deepblacksky/vgg_tensorflow	11	2	0
295	georgeseif/semantic-segmentation-suite	572	41	13
296	taki0112/resnext-tensorflow	54	1	1
297	russell91/tensorbox	436	64	13
298	timctho/shufflenet-v2-tensorflow	22	0	1
299	yuanluya/dbnet_tensorflow	8	0	0
300	bihaqo/t3f	29	0	0
301	kweisamx/tensorflow-espcn	8	1	0
302	levinj/ssd_tensorflow_voc	24	1	3
303	panweihit/dropneuron	13	1	0
304	ncgarcia/modality-distillation	2	0	0
305	lisjin/dcan-tensorflow	21	1	0
306	dgurkaynak/tensorflow-cnn-finetune	56	1	1
307	vividda/3d-physnet	2	0	0
308	takerum/vat_tf	57	3	0
309	mg2033/shufflenet	100	4	1
310	johnyc1995/dsn_tensorflow_code	1	0	0
311	steven-lang/dfi-tensorflow	10	0	0
312	luannd/minutiaenet	19	2	0
313	kevinzakka/spatial-transformer-network	159	7	1
314	debarko/capsnet-tensorflow	52	1	1
315	vonclites/squeezenet	57	3	0
316	yuhuima/dfn-tensorflow	24	4	0
317	vyraun/dni-tensorflow	13	0	0
318	noahfl/densenet-sdr	14	0	0
319	drewnf/tensorflow_object_tracking_video	183	3	2
320	jiyanggao/ctap	9	0	0
321	ritchieng/resnet-tensorflow	14	1	0
322	curiousai/mean-teacher	146	14	5
323	qianguih/voxelnet	133	19	1
324	markdtw/condensenet-tensorflow	12	1	0
325	gaussic/text-classification-cnn-rnn	896	33	18
326	dalgu90/wrn-tensorflow	12	1	0
327	devkihyun/rdn-tensorflow	1	0	0
328	nanqingd/deeplabv3-tensorflow	82	1	0
329	guanfuchen/deep_sort	0	0	0
330	mtmc-deecamp2018/deep_sort	1	0	0
331	taki0112/switchable_normalization-tensorflow	6	0	0
332	jonathonluiten/premvos	11	1	0
333	fabianbormann/tensorflow-deconvnet-segmentation	81	7	1
334	yuxwind/epsilonresnet	3	1	0
335	yangyanli/pointcnn	227	58	3
336	ailias/focal-loss-implement-on-tensorflow	62	0	0
337	ramakanth-pasunuru/video-dialogue	1	0	0
338	chenwuperth/rgz_rcnn	13	2	0
339	tropcomplique/faceboxes-tensorflow	32	3	0
340	georgesung/ssd_tensorflow_traffic_sign_detection	202	7	3
341	woodrush/neural-art-tf	128	2	4
342	yxlijun/cifar-tensorflow	6	0	1
343	dalgu90/resnet-18-tensorflow	48	4	2
344	ivclab/neuralmerger	1	0	0
345	chuckcho/kinetics-i3d	5	2	1
346	antlerros/tensorflow-fast-neuralstyle	24	1	3
347	kozistr/rcan-tensorflow	2	0	0
348	miguelmonteiro/vnet-tensorflow	20	1	0
349	xiaosucheng/densecap-tensorflow	3	0	0
350	mg2033/mobilenet	36	1	0
351	memespaper/memes_pipeline	8	2	0
352	dtananaev/tf_lstm_depth	0	0	0
353	devkihyun/srcnn-tensorflow	0	0	0
354	kobiso/senet-tensorflow-slim	12	0	0
355	yangxue0827/r2cnn_head_fpn_tensorflow	34	0	0
356	kweisamx/vdsr	10	3	0
357	smellly/densenet-tensorflow	0	0	0
358	dshahrokhian/yolo_tensorflow	24	2	0
359	barisgecer/facegan	19	0	0
360	kweisamx/tensorflow-srcnn	3	0	0
361	3ammor/video-pixel-networks	10	2	0
362	wenxichen/tensorflow_yolo2	10	0	0
